Rep_ID,Scenario,Total_Nodes,Node_ID,PDR_Percentage,E2E_Delay_ms,Energy_Consumed_J,Throughput_Kbps,Queue_Drops,Is_Attacker
0,Normal,30,node[0],95.7263142595009,144.8625051783667,0.5735261398097556,166.45042122604244,6,0
0,Normal,30,node[1],91.50516393226486,163.46438456568274,0.6162360603964445,94.94864242508224,13,0
0,Normal,30,node[2],89.93642756508311,156.63806955217115,0.5267050509365847,185.34958964676915,9,0
0,Normal,30,node[3],87.86689646877302,185.6832124756755,0.5642121946631975,170.09285089038062,3,0
0,Normal,30,node[4],95.62674922796619,169.67342141825432,0.6870350554532779,149.65201694744354,10,0
0,Normal,30,node[5],87.87330325213357,147.29088578289253,0.6184577584540278,73.60501060003017,8,0
0,Normal,30,node[6],89.64361618698858,206.39880526301982,0.5824800549428264,99.09459110266552,0,0
0,Normal,30,node[7],89.84460165083298,115.3312061760107,0.6686312614550534,223.61663976744003,9,0
0,Normal,30,node[8],93.60183310535884,156.300543949906,0.4923013962504975,187.86009017201835,2,0
0,Normal,30,node[9],86.99225335380065,178.82487407030047,0.5638588141355522,255.04141679120704,8,0
0,Normal,30,node[10],96.28004715582985,172.99207386548773,0.5626804414888723,169.19497408736368,10,0
0,Normal,30,node[11],90.7263091485278,106.10146135857784,0.5383657184692074,185.20257960614072,16,0
0,Normal,30,node[12],90.57795382888038,87.24520485878128,0.6639676107722677,161.15318940310448,8,0
0,Normal,30,node[13],89.27535784744812,115.75632310967268,0.5239864384239886,123.13694223588413,5,0
0,Normal,30,node[14],95.24409778899395,152.1945905569848,0.645676766451363,169.48354953868827,18,0
0,Normal,30,node[15],90.9681675824561,176.77896861953994,0.5315001177755154,194.53867805399346,2,0
0,Normal,30,node[16],93.13676425925777,199.2740921928213,0.4803518740300748,181.7577192508195,9,0
0,Normal,30,node[17],90.02307545284216,151.5115505068869,0.6520705743375209,217.01302238796598,14,0
0,Normal,30,node[18],92.87186279944582,190.56515958223542,0.5397035576959054,164.64792721464136,7,0
0,Normal,30,node[19],91.36033137487482,253.89787946505044,0.5210518083601197,199.8991878490521,8,0
0,Normal,30,node[20],89.33877502103563,178.47481398950302,0.44398148400993437,180.7994424190023,13,0
0,Normal,30,node[21],90.07631932370376,220.56884626595343,0.6652411034762166,171.41137402706642,8,0
0,Normal,30,node[22],90.78004033369805,175.492334090796,0.5846117742039184,207.3755466454806,4,0
0,Normal,30,node[23],91.95725175403692,164.3897895416224,0.49963262949753484,147.97487093665939,19,0
0,Normal,30,node[24],90.52403379659609,129.6630945148877,0.5541436084083577,190.6221279913967,10,0
0,Normal,30,node[25],93.45325452762623,183.0450166357074,0.6124940339073986,179.62521471694276,12,0
0,Normal,30,node[26],89.95769512727382,149.00871086321106,0.5596805439883621,144.2987212667266,5,0
0,Normal,30,node[27],86.91893508317855,167.02619698393582,0.40836153310184126,111.6767926806713,12,0
0,Normal,30,node[28],89.72236700969115,183.34501688956303,0.46646263282560946,143.9034646019135,4,0
0,Normal,30,node[29],90.21268194324072,152.56468775016882,0.5253224461030607,132.19921131825134,3,0
1,Normal,30,node[0],91.5362223624407,91.75405032798484,0.5938105876845704,157.38336200072982,16,0
1,Normal,30,node[1],95.78595061717273,101.24849412605232,0.6294397535881093,195.4866227010785,15,0
1,Normal,30,node[2],89.1766904622344,179.97187324463914,0.44019084503503836,239.53984156798487,13,0
1,Normal,30,node[3],94.2807262141477,135.63635937365586,0.47003752444035907,188.4564268103373,6,0
1,Normal,30,node[4],89.45729938292789,171.19230795275675,0.6117880645405446,161.49836403758835,6,0
1,Normal,30,node[5],91.17181087476875,201.94305854454024,0.45227510650931385,187.5687015682969,14,0
1,Normal,30,node[6],90.30395530048858,178.91546151578598,0.6303523218778041,177.1648312798154,11,0
1,Normal,30,node[7],86.86548532123074,108.70561124083223,0.5269178566733672,194.3837900959947,16,0
1,Normal,30,node[8],92.18359704482756,133.53737056217895,0.4884821622929588,208.43388506782765,0,0
1,Normal,30,node[9],96.65948887765713,87.07004489511218,0.6107196238271071,190.59412903807183,11,0
1,Normal,30,node[10],87.29150789090478,204.1005974184356,0.45094600045766736,107.47586601336047,9,0
1,Normal,30,node[11],93.47126143529249,175.50455622923175,0.513944931861707,197.5683461103998,10,0
1,Normal,30,node[12],88.65715802958701,150.82538187109296,0.5240120362217416,188.8627407512949,13,0
1,Normal,30,node[13],90.0668143711262,139.80433628840993,0.5313582948034197,166.7043606680024,13,0
1,Normal,30,node[14],91.9457256040149,233.11385181571296,0.529092314517059,156.35783449845903,5,0
1,Normal,30,node[15],91.55694491854797,190.81315754688796,0.5415229416068261,135.5257890226446,14,0
1,Normal,30,node[16],91.18272712747327,142.73450795407095,0.5517913695889386,204.0613407101072,12,0
1,Normal,30,node[17],94.4284836255263,209.31263673878533,0.5082199196368957,151.24944737993818,12,0
1,Normal,30,node[18],91.168031161903,87.50554722870609,0.546355292924948,216.15208406553458,14,0
1,Normal,30,node[19],88.56770858929957,215.02814235033574,0.5374633048568671,141.60710243640682,3,0
1,Normal,30,node[20],91.08262565817103,154.30784269236912,0.5756953319929073,157.72319311283027,11,0
1,Normal,30,node[21],93.9394565627377,144.77367257394457,0.5436625525865957,125.2969783303245,14,0
1,Normal,30,node[22],94.61160443241957,196.05685742255753,0.5713940850642152,94.519987972566,18,0
1,Normal,30,node[23],91.6564409158667,142.85829999431894,0.5097730611045234,177.50404878661743,14,0
1,Normal,30,node[24],91.46751382135595,219.2200051998601,0.4943280719383036,185.1177246185363,13,0
